"","Genus_spp","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"20","Arnica_mattis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,0.00318309886183791,0.5,0,0,0,0,0,5.00318309886184
"21","Arnica_ovata",0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0.00392975168128137,0,0,0,0,0,0,0,0.00141471060526129,2,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,2.0072684687097
"22","Arnica_parryi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477
"23","Arnica_spp",0,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392975168128137
"24","Artemsia_furcata",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323
"25","Asplenium_viride",0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0.0293945425759846
"26","Athyrium_alpestre",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0.00141471060526129,0.00141471060526129,0,0.0353677651315323,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0.0795774715459477,0,0,0,0.0127323954473516,0.14412119361978
"27","Athyrium_distentifolium",0,0.000795774715459477,0,0,0,0,0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206901426019464
"28","Boechera_calderi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"29","Botrychium_spp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Carex_",0,0.0353677651315323,0.0795774715459477,0.0418638852577321,0,0,1,0,0,0,0,0,2,0,0,0,8,1.5,0.0254647908947032,1.00141471060526,0.00318309886183791,2,0.5,0,0,0,0,0.0215183979180368,0.0845510635175694,4,3.5,0,0,0,0,0,0,0,5,0,28.7929411837326
"31","Carex_aquatalis",0,0,0,0.5,0.00110141829129339,0,0,0,0,4,0.5,0.0795774715459477,4.5,0,1.5,1.5,0,0,0,0,0,1.5,0,0,0,0.000509295817894065,1,0,0,0,0,3,4.5,0.00318309886183791,1.5,0,0,0,7,0.5,31.584371284517
"32","Carex_aurea",0,0,0,1,2.5,0,0,0,0,0,0,0,6.5,0,0.5,0,8,2.5,0,1.5,0,4,0,0,0,3.5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,35.5
"33","Carex_lachenalii",0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
"34","Carex_macloviana",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"35","Carex_spectabilis",0,0,0,0,0,0,1.5,20,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5127323954474
"36","Cassiope_mertensiana",0,0,0.00110141829129339,8,0.0198943678864869,0.000795774715459477,0.00497359197162173,1,0.000259844805047992,2.5,0,0.000795774715459477,7,0,0,0.5,0.00318309886183791,5,5.5,7.5,0,0.000353677651315323,0,0.5,0.000353677651315323,1,8,0,4.5,0.0353677651315323,0.00221048532072077,0.0198943678864869,0.00162403003154995,0,0,0,0.5,0,0,0,51.5908078749201
"37","Castilleja_miniata",0,0.00221048532072077,0.00141471060526129,0.0127323954473516,0.0127323954473516,0.00884194128288308,0.00141471060526129,0,0.000795774715459477,0,7,0,0.5,0.00392975168128137,0.0198943678864869,0,0.00649612012619981,0,0,0,0.000795774715459477,0.5,2.5,0.0795774715459477,0,0.0198943678864869,0.0127323954473516,0.00649612012619981,0,0.0353677651315323,1.5,5.5,1,0,4.5,0.00497359197162173,0.141471060526129,0.0198943678864869,0,3,26.3916655683555
"38","Castilleja_pervifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065
"39","Castilleja_rupicola",0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0.0552621330180192
"40","Chamaecyparis_nootkatensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Chamaenerion_angustifolium",0,0,0.318309886183791,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.8183098861838
"42","Chamaenerion_latifolium",3,1.5,3.5,0,0.00141471060526129,4,0,0.000353677651315323,0,0,3.5,0,0,8,6.5,0,0.00649612012619981,0.0795774715459477,0.00141471060526129,0,0.00649612012619981,8,1,3.5,0,0.00141471060526129,0,0,0,0,0,0.0127323954473516,7.5,0,0.0353677651315323,5,0,0,0,0,55.1452676818443
"43","Cirsium_edule",0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0.000509295817894065,0,0,0,0,0,0.0164707682217546
"44","Crepis_nana",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9.51273239544735
"45","Crust_",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"46","Cryptogramma_acrostichoides",0,0,0.0795774715459477,0.00221048532072077,0,0,0,0.000795774715459477,0,0,0.5,0,0,0.00318309886183791,0,0,0,0,0,0,5,0.0127323954473516,0.00318309886183791,3,0,0,0,0.000982437920320342,0,0.318309886183791,0,0.000795774715459477,3,0,0,0,0,0,0,0.5,12.4217704235727
"47","Dasiphora_fruticosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"48","Diaphasiastrum_alpinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308,0,0,0.000353677651315323,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0,0,0,0,0,0,0,0.0100773637712726
"49","Dryas_drummondii",0,0.00043663907569793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0.000945934893591995
"50","Dryopteris_marginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209276716754629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209276716754629
"51","Elymus_trachycaulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00497359197162173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00497359197162
"52","Empetrum_nigrum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,1.07957747154595
"53","Epilobium_anagallidifolium",0,0,0,0,0,0,0,0,0.000509295817894065,0,3,0,0.0127323954473516,2,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0.000982437920320342,1,0,0.00497359197162173,0,0,0,0,0,17.0191977211572
"54","Equisetum_arvense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Equisetum_variegatum",0,0,0,0,0.00110141829129339,0,0,0,0,0,0,8,0,0,3.5,0,8,0,0,0,0,0,0,0,0,2,0.00263066021639496,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,21.516464473955
"56","Erigeron_acris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342
"57","Erigeron_glacialis",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0198943678864869,0,0.000795774715459477,0,0,0,0,0,1,0,0.000881744837074213,0,0,3,0,0.00392975168128137,3.5,0,0,0,0,0,8.0255016391203
"58","Erigeron_nivalis",0,0,5,0.0127323954473516,0.000601720011689585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01368779311036
"59","Erythranthe_guttata",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,8.00282942121052
"60","Erythranthe_lewisii",0.00318309886183791,0,0,0,0,0,0,0,0,0,0.141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.141471060526129,0,0,0,0,0,0,0,1.2861252199141
"61","Erythronium_grandiflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0,0,0.00221048532072077
"62","Fern_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923098669932993
"63","Festuca_",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"64","Festuca_brachyphylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791
"65","Festuca_saximontana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791
"66","Fragaria_virginiana",0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188349045079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506658931262957
"67","FUNGI_",0,0,0,8,4,0,0,0,0,0,0.5,0,5.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.5
"68","Gaultheria_humifusa",0,0,0.000509295817894065,0,0.00110141829129339,0.0795774715459477,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0.0353677651315323,0,0.000353677651315323,0,0,0,0,0.0353677651315323,0,0,0,0.00318309886183791,0.0353677651315323,0,0,0,0,0,0,0,0,0,0.192242968168147
"69","Heuchera_glabra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129
"70","Hieracium_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,0,0,0,0,0,0.000310849498226358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141226778951975
"71","Hieracium_albiflorum",0,0,0.318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318309886183791
"72","Hieracium_humile",0,0,0.318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318309886183791
"73","Hieracium_triste",0,0,0.5,0.00497359197162173,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0.00124339799290543,0,0,0,0,0.000881744837074213,3,0,3.52034042606685
"74","Huperzia_haleakalae",0,0,0,0,0.00110141829129339,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,1.52187753101485
"75","Juncus_",0.318309886183791,0,0.00649612012619981,0.00649612012619981,0,0,0,0,0,0,0,0,0.0198943678864869,0.5,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,2,0.5,0,0,0,0,0.00318309886183791,0,0,0,0,10.8671119886319
"76","Juncus_arcticus",0,0,0,0,0,0,0,0.000795774715459477,0.5,0,6.5,0.00141471060526129,0.5,0,0,0,0,0,0,0,0,2,0,0,0.00318309886183791,0,0,0,0,0,0,7.5,4,0,0,0.318309886183791,0,0.00392975168128137,0,2,23.3276332220476
"77","Juncus_drummondii",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0.00221048532072077,3,0,0,0,0,0,0,0,0.0795774715459477,0,7.1171557219982
"78","Juncus_mertensianus",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.0353677651315323,0,0,0,0,0,3.57073553026306
"79","Juncus_triglumus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"80","Juniperus_communis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Kalmia_microphylla",0,0,0,0,0.000795774715459477,0,0,0,0.000259844805047992,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0010556195205
"82","Leptarrhena_pyrolifolia",0,0,0,0,0.00110141829129339,0,0,0,0,0,5.5,0,5.5,0.0198943678864869,0,0,0,0.00110141829129339,0,0,0.000353677651315323,3.5,0.000795774715459477,0.5,0.00318309886183791,0,0.00318309886183791,0,0.00263066021639496,0,0,8,1.5,0,3,0,0,0,0,0.0795774715459477,27.6118209863219
"83","Lesquerella_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"84","Lichen_",0,0,0,0,0,0,4.5,0.0127323954473516,2.5,8,0.5,0,2,0,0,0,0,8,6.5,5.5,8,4,0,0,0,0,0,6.5,8,7.5,2.5,0,2.5,1,0,0,0,0,4,0,81.5127323954474
"85","Luetkea_pectinata",0,0.0353677651315323,0,0.00240688004675834,0,0,0,4,0,0,0.00497359197162173,0,0,0,0,0.00141471060526129,0,8,7,2,0,0,0,0.0509295817894065,2,0,0,0,0,0,0,0,2,0.00318309886183791,0,0,0,0,7,2,34.0982756284064
"86","Lupinus_spp.",0,0,7.5,6,7.5,0.0127323954473516,3.5,9.5,1,0.0127323954473516,0,0.000353677651315323,0,0,0.000601720011689585,7,0.00497359197162173,3.5,4,1,0.00318309886183791,2,6,0,0,0.000795774715459477,6.5,7,0.141471060526129,0.0353677651315323,8,0,0,0.00497359197162173,6.5,0,7.5,0.0127323954473516,2.5,4.5,101.229917467183
"87","Luzula_",0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0.000310849498226358,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0,2.00349394836006
"88","Luzula_parviflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0.000982437920320342,0,0,0.0208768058068072
"89","Luzula_piperi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"90","Marchantia_spp.",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,13.5
"91","Micranthes_ferruginea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0.00110141829129339,0,0,2.50759753841749
"92","Micranthes_nivalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0,0,0,0,0,0,0.0817879568666685
"93","Mimulus_lewisii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509295817894065
"94","Mimulus_tilingii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0.00221048532072077
"95","Minuartia_rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509295817894065,0,0,0,0,2.55742570191561
"96","Moss_",4.5,0,0,0,0,8,6,5.5,7.5,8,8,8,6.5,5.5,6.5,8,7.5,0,0,0,8,8,0,0,0,8,3,7,8,7.5,8,8,7.5,2.5,7.5,0.0127323954473516,0,0,0,0,172.512732395447
"97","Orthilia_secunda",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0.00141471060526129,0,0,0,0,0,0,0,0,0,0.00649612012619981,0.543278595862993
"98","Oxyria_digyna",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0,0,0,0.00497359197162173,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0,0,0.0849047411688848
"99","Packera_aurea",0,0,0.00263066021639496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496
"100","Parnassia_fimbriata",0,0,0,0,0,0,0,0,0,0,2,0,0.0795774715459477,0,0,0,0,0,0,0,0,5,0.00263066021639496,0,0,0,0,0,0,0,0,3.5,2.5,0,2,0,0,0,0,0.0795774715459477,15.1617856033083
"101","Pedicularis_bracteosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,1.03536776513153
"102","Pedicularis_racemosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308,0,0,0,0,0,0,0,0,0,0,0.00884194128288308
"103","Penstemon_",0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"104","Penstemon_davidsonii",0,0,0,0,0,0,0,0.000157190067251255,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0.00221048532072077,0,0,0.00392975168128137,0,0.000127323954473516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1.50722052573919
"105","Penstemon_procerus",0,0.0353677651315323,0.00884194128288308,0,0.00884194128288308,0.00318309886183791,1.5,0.00318309886183791,0,0,1,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,3.5,0.0198943678864869,0,0,0,0.0127323954473516,0.00141471060526129,1.5,5,0,0.5,0,0,0,0,0,1.5,3,17.5942550940755
"106","Petasites_frigidus",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0127323954473516,0,0,0,0,0,0,0.000353677651315323,8,0,0.000982437920320342,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16.514068511019
"107","Phacelia_sericea",0,4.5,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,5.03757825045225
"108","Phleum_alpinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0.00318309886183791
"109","Phlox_diffusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
