"","Genus_spp","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"1","Abies_amabilis",0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318309886183791,0,0,0,0,0.00318309886183791,0,0,0,0,0.00497359197162173,0,0,0,0,0,0,0,0.0198943678864869,0,0,0,0.366255312790224
"2","Abies_lasiocarpa",0,0.0795774715459477,0.0127323954473516,1,6.5,0.0198943678864869,0.5,0.5,0.00318309886183791,0,0,0,1.5,0.5,0,0.318309886183791,0,0.00318309886183791,4,0.5,0.00392975168128137,0.5,0.00649612012619981,0,0,0,0.0198943678864869,5,0.318309886183791,2.5,4.5,0.5,0.5,2.5,0,0.0860735916721475,0.5,0,0.0353677651315323,0.5,32.9069518014687
"3","Achillea_millefolium",0,0,0.00649612012619981,0,0,0,0,0,0,0,2.5,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0.5,0,0.0353677651315323,0,0,0,0,0.5,8.04265965997319
"4","Adiantum_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323
"5","Agoseris_aurantiaca",0,0,0,0,0,0,0,0,1,0,0,0,0.00318309886183791,0.000795774715459477,0,0,0,0,0,0,0.00141471060526129,1.5,1,0.0259844805047992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53137806468736
"6","Agrostis_humilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308,3.5,0,0,0,0,0,3.50884194128288
"7","Alnus_viridis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0.00884194128288308,0,0,0,0,0,0,0,0,0.02873630916937
"8","Anaphalis_margaritacea",0,0.0353677651315323,5,0.0198943678864869,0.0127323954473516,0.000509295817894065,0,0,0.5,0,3,0,0,0.0127323954473516,0.00497359197162173,0,0,0.00318309886183791,0,0,0.0353677651315323,2,0.141471060526129,1,0,0,0,0.000982437920320342,0,0.00318309886183791,0.0198943678864869,0.000795774715459477,0.5,0,0.141471060526129,0.00221048532072077,0,0.000982437920320342,0,0.0198943678864869,12.4556457672595
"9","Anemone_occidentalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0.000259844805047992,0,0,0,0,3,0,3.00124228272537
"10","Antennaria_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323
"11","Antennaria_alpina",0,0,0,0,0.0127323954473516,0,0.000795774715459477,0.0127323954473516,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0.000470872612697915,0.141471060526129,0.00497359197162173,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.17317609072061
"12","Antennaria_lanata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516
"13","Antennaria_rosea",0,0,0,0.00263066021639496,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0.00884194128288308,0,0.0353677651315323,3,0,0.00162403003154995,0,0,0,0,0,0,0,3.06871244220016
"14","Antennaria_umbrinella",0,0,0,0.0353677651315323,0,0,0.5,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0.540634720204984
"15","Anthoxanthum_monticola",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16","Arabis_drummondii",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,6.51383381373865
"17","Arctostaphylos_uva-ursi",0,0.00043663907569793,0.00497359197162173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0,0,0,2.5,0,0,0.0353677651315323,0,0.0198943678864869,0.00649612012619981,0.00141471060526129,0,0,0,0,0,0,0,0.00884194128288308,2.5796356214004
"18","Arnica_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497359197162173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497359197162173
"19","Arnica_latifolia",0,0,0,0.000795774715459477,0,0,0,3.5,0,0,0.5,0,0.0127323954473516,0,0,0,0,0,0.0127323954473516,0.000795774715459477,0,1,8,0.5,0,0,0.00497359197162173,0,0,0,0,0,0,0,0,0,0,0,0,2,15.5320299322972
