Type	Family	EnglishName	Genus	Species	CE07	CN01	WP58	WP55	WP37	WP29	WP3	WP34	WP33	WP5	WP30	WP67	CE03/WP15	CE04	WP20	WP1	WP4	WP69	WP73	WP40	WP43	WP60	WP31	CE05	CE02	WP59	WP42	WP27	WP7	WP57	WP56	WP39	CE09	CE1	WP10	CE10	WP12	WP65	CE01	CE08
forb	Saxifragaceae	Spottedsaxifrage	SaxifragaMicranthes	bronchialis		"3,2,2,2"	25m	22m	15m																"3,3,3,1"	30m		25m				1m		"1,3,3,3"			10m							"2,0,0,1"
forb	Crassulaceae	spreadingstonecrop	Sedum	divergens		5m	7m			"1,1,4,0"		45m			10m			"3,2,1,0"				"1,2,0,0"			"2,0,0,2"	25m	"4,0,4,4"	"0,1,0,0"						"4,1,0,1"	"0,3,0,0"	20m	32m							3m
forb	Rosaceae	creepingsibbaldia	Sibbaldia	procumbens																							"0,3,2,3"																	
forb	Tofieldiaceae	stickyfalseasphodel	Triantha	glutinosa			25m						35m	"4,4,4,4"		"4,4,4,4"	"2,0,2,1"				"4,3,4,4"					"2,1,0,0"				13m	4m				3m	"3,0,1,2"			6m					
Fungi	FUNGI	mushroom						"4,4,4,4"	"4,4"						"1,0,0,0"		"2,2,4,3"									"0,0,1,0"													"1,0,0,1"					
gramminoid	Cyperaceae	Watersedge	Carex	aquatalis				"0,0,1,0"	17m					"2,2,2,2"	"0,0,1,0"	2m	"3,0,2,4"		"3,0,0,0"	"1,0,1,1"						"0,0,3"				25m	"0,0,0,2"					"0,1,3,2"	"4,1,0,4"	10m	"3,0,0,0"				"4,4,2,4"	"1,0,0,0"
gramminoid	Cyperaceae	goldensedge	Carex	aurea				"2,0,0,0"	"0,4,1,0"										"0,0,0,1"			"0,2,1,2"		"1,2,0,0"		"4,0,1,3"				"1,1,1,4"						"2,1,4,4"								
gramminoid	Juncaceae	Arcticrush	Juncus	arcticus								20m	"0,0,1,0"		"1,4,4,4"	15m	"0,1,0,0"									"1,2,0,1"			10m							"3,4,4,4"	"3,1,1,3"			1m		9m		
gramminoid	Poaceae	alpinecat's-tail	Phleum	alpinum			"2,0,4,3"						"1,01,1,0"		"1,0,0,1"				"0,0,0,1"							"0,3,0,2"	20m								"2,2,0,0"				"2,0,1,0"					
gramminoid		"""2gramminoids"""																													10m													
horsetail	Equisetaceae	horsetail	Equisetum	arvense																																								
horsetail	Equisetaceae	horsetail	Equisetum	variegatum					17m							"4,4,4,4"			"4,2,1"		"4,4,4,4"									"4,0,0,0"	11m									5m				
Lycopodium	Lycopodiaceae	clubmoss	Huperzia	haleakalae					17m								"0,2,1,0"												19m							4m								
Moss	MOSS	moss			"1,4,4,0"					"4,4,4,4"	"4,4,4,0"	"4,2,1,4"	"3,4,4,4,"	"4,4,4,4"	"4,4,4,4"	"4,4,4,4"	"4,3,3,3"	"4,1,2,4"	"3,4,4,2"	"4,4,4,4"	"4,3,4,4"				"4,4,4,4"	"4,4,4,4"				"4,4,4,4"	"4,1,0,1"	"4,4,3,3"	"4,4,4,4"	"4,3,4,4"	"4,4,4,4"	"4,4,4,4"	"4,3,4,4"	"1,2,2,0"	"4,3,4,4"	5m				
evergreen	Ericaceae	"Kinnikinnick,bearberry"	Arctostaphylos	uva-ursi		27m	8m																12m						"2,0,3,0"			3m		4m	7m	15m								6m
evergreen	Ericaceae	whitemountainheather	Cassiope	mertensiana			17m	"4,4,4,4"	4m	20m	8m	"1,1"	35m	"3,2"		20m	"3,3,4,4"			"0,0,0,1"	10m	"3,2,4,1"	"2,4,2,3"	"3,4,4,4"		30m		"1,0,0,0"	30m	"0,0,0,2"	"4,4,4,4"		"3,1,1,4"	3m	12m	4m	14m				"1,0,0,0"			
evergreen	Ericaceae	crowberry	Empetrum	nigrum													"0,2,0,0"																											2m
evergreen	Ericaceae	alpine-wintergreen	Gaultheria	humifusa			25m		17m	2m													3m		30m					3m				10m	3m									
evergreen	Ericaceae	alpinelaurel	Kalmia	microphylla					20m				35m	"4,4,4,4"		"4,4,4,0"														"1,1,0,0"														
evergreen	Ericaceae	Pinkmountain-heather	Phyllodoce	empetriformis			7m	"4,4,4,4"	"2,1,2,0"	20m	5m		25m	"2,3,2,1"		"1,4,3,4"				"4,3,3,3"	"1,1,0,0"	"3,2,0,1"	"0,0,0,3"	"3,1,4,4"		5m		"2,0,3,2"	6m				"4,4,4,4"	5m	5m		17m		"1,4,3,4"		"3,0,1,1"	"1,0,0,0"	"1,0,0,3"	
evergreen	Ericaceae	YellowMountain-Heather	Phyllodoce	glanduliflora		3m	6m				20m	5m					"3,4,4,1"			"4,3,3,1"					10m				"0,0,4,2"	"4,4,4,4"	"4,4,4,4"	"0,1,1,0"	9m	6m	"3,0,0,1"		4m				"4,1,4,4"	"4,4,4,4"		"3,3,1,0"
evergreen	Ericaceae	Blackhuckleberry	Vaccinium	membranaceum																		2m	"0,0,2,1"	3m	30m								2m	8m	7m						15m			
evergreen	Ericaceae	northernbilberry	Vaccinium	uliginosum																			15m																					
gramminoid	Juncaceae	rush	Luzula												"1,1,0,1"																													
forb	Caryophyllaceae	mosscampion	Silene	acaulis			25m																																					
forb	Celastraceae	fringedgrassofParnassus	Parnassia	fimbriata											"0,1,1,2"																													
evergreen	Ericaceae	wintergreen	Pyrola	?			5m																																					
forb	Saxifragaceae	brooksaxifrage	Saxifraga	odontoloma													6m																											
forb	Asteraceae	stickyleafaster	Arnica	ovata													9m																											
forb	Plantaginaceae	alpinespeedwell	Veronica	wormskjoldii											"4,4,4,4"																													
forb	Asteraceae	Yarrow	Achillea	millefolium			7m																																					
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca																							"0,1,1,0"																	
forb	Brassicaceae	Rockcress	Arabis	drummondii																							"1,1,4,2"																	
forb	Asteraceae	Yarrow	Achillea	millefolium											"1,2,1,1"																													
forb	Asteraceae	Yarrow	Achillea	millefolium																																	"1,0,0,0"		3m					
forb	Asteraceae	woollyhawksweed	Hieraceum	triste				8m																																				
fern	FERN	Maidenhair fern	Adiantum																						30m																			
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca									"0,2"																															
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca													10m																											
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca																					15m																			
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca																						"2,0,0,1"																		
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca														20m																										
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea		3m																																						
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea			"4,2,2,2,"																																					
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea				4m	5m	25m																																		
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea									"0,0,1"																															
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea											"0,3,2,1"																													
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea															8m																									
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea																					3m	"2,0,0,2"																		
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea																												18m		10m	4m									
forb	Ranunculaceae	westernanemone	Anemone	occidentalis																																							"2,2,2,0"	
forb	Asteraceae	woollypussytoes	Antennaria																							30m																		
gramminoid	Poaceae	Alpinesweetgrass	Anthoxanthum	monticola											"1,0,0,1"																													
forb	Asteraceae	woollypussytoes	Antennaria	lanata																											5m													
forb	Brassicaceae	Rockcress	Arabis	drummondii		"1,0,0,0"																																						
forb	Brassicaceae	Rockcress	Arabis	drummondii																								"1,1,0,2"																
forb	Brassicaceae	Rockcress	Arabis	kamchatka																			5m																					
gramminoid	Poaceae		Poa	arctica															"0,0,1,1"																									
forb	Asteraceae	Aster	Arnica	Darryi																					20m																			
forb	Asteraceae	stickyleaftaster	Arnica	ovata																													15m											
forb	Asteraceae	Aster	Arnica	mattis																																"0,1,1,1"	"3,2,0,1"	10m	"0,0,0,1"					
forb	Asteraceae	Aster	Arnica	spp				9m																																				
forb	Asteraceae	Aster	Arnica																8m																									
forb	Asteraceae	wormwood	Artemsia	furcata														3m																										
forb	Asteraceae		Aster	??															3m																									
forb	Asteraceae		Aster	fol																																							"0,4,1,1"	
forb	Asteraceae		Aster	spp1																																								"0,0,1,1"
forb	Asteraceae		Aster																				6m																					
fern	FERN	Alpineladyfern	Athyrium	alpestre																																19m								
fern	FERN	Alpineladyfern	Athyrium	distentifolium		20m																																						
fern	FERN	Alpineladyfern	Athyrium	distentifolium											4m																													
fern	FERN	Alpineladyfern	Athyrium	alpestre																						15m																		
fern	FERN	Alpineladyfern	Athyrium	alpestre																					15m																			
forb	Brassicaceae	Calder'ssuncress	Boechera	calderi									2m																															
forb	Brassicaceae	Calder'ssuncress	Boechera	calderi																						3om																		
gramminoid	Cyperaceae	sedge	Carex	60?																						"0,4,0,0"																		
gramminoid	Cyperaceae	Brewer'ssedge	Carex	breweri															"0,1,1,0"																									
gramminoid	Cyperaceae	Hare's-footsedge	Carex	lachenalii									"1,2,"																															
gramminoid	Cyperaceae	Falklandislandsedge	Carex	macloviana									adjacent4m																															
gramminoid	Cyperaceae	sedge	Carex	nar																																							"2,3,4,1"	
gramminoid	Cyperaceae	Showysedge	Carex	spectabilis							"0,3,0,0"	"4,4,32"	5m																															
gramminoid	Cyperaceae	sedge	Carex	spp.							"0,0,0,2"																																	
gramminoid	Cyperaceae	sedge	Carex	spp1													"0,1,3,0"																											
gramminoid	Cyperaceae	sedge	Carex	spp1																					10m																			
gramminoid	Cyperaceae	sedge	Carex	spp1(hairy)																												4m												
gramminoid	Cyperaceae	sedge	Carex	spp2		3m																																						
gramminoid	Cyperaceae	sedge	Carex	spp2				7m																																				
gramminoid	Cyperaceae	sedge	Carex	spp2																												14m	2m	"4,2,1,1"	"3,2,0,2"									
gramminoid	Cyperaceae	sedge	Carex	spp3																													8m											
gramminoid	Cyperaceae	sedge	Carex	WP69-1																		"1,1,0,0"		15m																				
gramminoid	Cyperaceae	Carexspp3	Carex																				5m																					
gramminoid	Cyperaceae	CarexWP69-2	Carex																			"0,0,0,1"	5m	"0,2,0,0"																				
gramminoid	Cyperaceae	sedge	Carex	aurea													"4,3,3,3"																											
forb	Scrophulariaceae	paintbrush	Castilleja	pervifolia																						25m																		
forb	Scrophulariaceae	cliffpaintbrush	Castilleja	rupicola																														3m										
forb	Onagraceae	Fireweed	Chamaenerion	angustifolium			1m																																					
