references
"Abermann, J., Lambrecht, A., Fischer, A., & Kuhn, M. (2009). Quantifying changes and trends in glacier area and volume in the Austrian Ötztal Alps (1969-1997-2006). The Cryosphere, 3(2), 205."
"Aizen, V. B., Kuzmichenok, V. A., Surazakov, A. B., & Aizen, E. M. (2007). Glacier changes in the Tien Shan as determined from topographic and remotely sensed data. Global and Planetary Change, 56(3-4), 328-340."
"Ali, S. N., Singh, R., & Pandey, P. (2019). Estimation of the Frontal Retreat Rate of the Pindari Glacier, Central Himalaya Using Remote Sensing Technique. Earth Science India, 12(III), 146–57"
"Allison, I., & Peterson, J. A. - US Geological Survey (1989). Glaciers of Irian Jaya, Indonesia, and New Zealand."
"Anderson, B., Mackintosh, A., Stumm, D., George, L., Kerr, T., Winter-Billington, A., & Fitzsimons, S. (2010). Climate sensitivity of a high-precipitation glacier in New Zealand. Journal of Glaciology, 56(195), 114-128."
"Aniya, M., Barcaza, G., & Iwasaki, S. (2007). Recent glacier advances at Glaciar Exploradores, Hielo Patagónico Norte, Chile. Bulletin of glaciological research, 24, 49-57."
"Bernasconi, S. M. (2014). Measuring the critical zone: Lessons from the Damma glacier critical zone observatory. Procedia Earth and Planetary Science, 10, 38-45."
"Bernasconi, M. G., Borgatti, M. S., Tognetti, M., Valle, B., Caccianiga, M., Casarotto, C., ... & Gobbi, M. (2019). Checklist ragionata della flora e degli artropodi (Coleoptera: Carabidae e Arachnida: Araneae) dei Ghiacciai Centrale e Occidentale del Sorapiss (Dolomiti d’Ampezzo). Frammenti Conoscere e Tutelare la Natura Bellunese, 9, 49-65."
"Bhambri, R., Bolch, T., & Chaujar, R. K. (2012). Frontal recession of Gangotri Glacier, Garhwal Himalayas, from 1965 to 2006, measured through high-resolution remote sensing data. Current Science, 102(3), 489-494."
"Burga, C. A. (1999). Vegetation development on the glacier forefield Morteratsch (Switzerland). Applied Vegetation Science, 2(1), 17-24."
"Caccianiga, M., Ravazzi, C., & Zubiani, P. (1993). Storia del Ghiacciaio del Trobio (Alpi Orobie, Bergamo) e colonizzazione della vegetazione nelle aree liberate dopo la Piccola Età Galciale. Natura Bresciana, 29, 65-96."
"Cannone, N., Diolaiuti, G., Guglielmin, M., & Smiraglia, C. (2008). Accelerating climate change impacts on alpine glacier forefield ecosystems in the European Alps. Ecological Applications, 18(3), 637-648."
"Carrivick, J. L., Berry, K., Geilhausen, M., James, W. H., Williams, C., Brown, L. E., ... & Carver, S. J. (2015). Decadal?scale changes of the Ödenwinkelkees, central Austria, suggest increasing control of topography and evolution towards steady state. Geografiska Annaler: Series A, Physical Geography, 97(3), 543-562."
"Ceballos, J. L., Euscátegui, C., Ramírez, J., Cañon, M., Huggel, C., Haeberli, W., & Machguth, H. (2006). Fast shrinkage of tropical glaciers in Colombia. Annals of Glaciology, 43, 194-201."
"Chand, P., Sharma, M. C., Bhambri, R., Sangewar, C. V., & Juyal, N. (2017). Reconstructing the pattern of the Bara Shigri Glacier fluctuation since the end of the Little Ice Age, Chandra valley, north-western Himalaya. Progress in Physical Geography, 41(5), 643-675."
"Chen, A. A., Wang, N. L., Guo, Z. M., Wu, Y. W., & Wu, H. B. (2018). Glacier variations and rising temperature in the Mt. Kenya since the Last Glacial Maximum. Journal of Mountain Science, 15(6), 1268-1282."
"Cía, J. C., Andrés, A. J., Sánchez, M. S., Novau, J. C., & Moreno, J. L. (2005). Responses to climatic changes since the Little Ice Age on Maladeta Glacier (Central Pyrenees). Geomorphology, 68(3-4), 167-182."
"D’Amico, M. E., Freppaz, M., Leonelli, G., Bonifacio, E., & Zanini, E. (2015). Early stages of soil development on serpentinite: the proglacial area of the Verra Grande Glacier, Western Italian Alps. Journal of Soils and Sediments, 15(6), 1292-1310."
"Deline, P., & Kirkbride, M. P. (2017). Dix ans de balises d’ablation sur le glacier d’Estelette (massif du Mont Blanc) pour étudier la dynamique de sa couverture détritique. Collection EDYTEM. Cahiers de géographie, 19(1), 61-67."
"Deline, P., & Orombelli, G. (2005). Glacier fluctuations in the western Alps during the Neoglacial, as indicated by the Miage morainic amphitheatre (Mont Blanc massif, Italy). Boreas, 34(4), 456-467."
"Delgado-Granados, H. , Miranda, P. J., Huggel, C., Del Valle, S. O., & Ibargüengoitia, M. A. (2007). Chronicle of a death foretold: Extinction of the small-size tropical glaciers of Popocatépetl volcano (Mexico). Global and Planetary Change, 56(1-2), 13-22."
"DeVisser, M. H., & Fountain, A. G. (2015). A century of glacier change in the Wind River Range, WY. Geomorphology, 232, 103-116."
"Dowling, L. (2019). The Holocene glacial history of Dart Glacier, Southern Alps, New Zealand (Doctoral dissertation, M. Sc. Thesis. Victoria University of Wellington)."
Esri ArcGIS World Imagery. http://goto.arcgisonline.com/maps/World_Imagery.
"Gardent, M. (2014). Inventaire et retrait des glaciers dans les alpes françaises depuis la fin du Petit Age Glaciaire (Doctoral dissertation, P. D. Thesis, Université Savoie Mont Blanc)."
"Gardent, M., Rabatel, A., Dedieu, J. P., & Deline, P. (2014). Multitemporal glacier inventory of the French Alps from the late 1960s to the late 2000s. Global and Planetary Change, 120, 24-37."
GlaRiskAlp. http://www.glariskalp.eu/.
"Glasser, N. F., & Hambrey, M. J. (2003). Ice-marginal terrestrial landsystems: Svalbard polythermal glaciers. Glacial Landsystems. Arnold, London, 65, 88."
GLIMS - Global Land Ice Measurements from Space. https://www.glims.org/.
GN orthophotogrammetry. http://www.pcn.minambiente.it/mattm/servizio-wms/.
"Gobbi, M., Caccianiga, M., Cerabolini, B., De Bernardi, F., Luzzaro, A., & Pierce, S. (2010). Plant adaptive responses during primary succession are associated with functional adaptations in ground beetles on deglaciated terrain. Community Ecology, 11(2), 223-231."
Google Earth. https://earth.google.com/.
Grupo de Suelos y Tierras - IDEAM (2018). Evolución multitemporal del área glaciar del Volcán Nevado Santa Isabel. http://www.ideam.gov.co/.
"Hågvar, S., Solhøy, T., & Mong, C. E. (2009). Primary succession of soil mites (Acari) in a Norwegian glacier foreland, with emphasis on oribatid species. Arctic, Antarctic, and Alpine Research, 41(2), 219-227."
"Hannesdóttir, H., & Baldursson, S. (2017). Hörfandi Jöklar melting glaciers, a natural laboratory to study climate change. Reykjavik, Iceland: Vatnajokulstjodgardur."
"Hastenrath, S. (2005). The glaciers of Mount Kenya 1899–2004 (Veränderungen der Gletscher am Mount Kenya 1899–2004). Erdkunde, 59(2), 120-125."
"Hastenrath, S., & Ames, A. (1995). Recession of Yanamarey glacier in Cordillera Blanca, Peru, during the 20th century. Journal of Glaciology, 41(137), 191-196.1."
"Heine, K. (1988). Late Quaternary glacial chronology of the Mexican volcanoes. Geowissenschaften, 6, 197-205."
IGN orthophotogrammetry. https://www.geoportail.gouv.fr/.
"Imhof, P. (2010). Glacier fluctuations in the Italian Mont Blanc massif from the Little Ice Age until the present. Historical reconstructions for the Miage, Brenva and Pré-de-Bard Glaciers (Doctoral dissertation, M. Sc. Thesis. Geographisches Institut der Universität Bern)."
"Iwata, S. (1976). Late pleistocene and holocene moraines in the Sagarmatha (Everest) Region, Khumbu Himal. Journal of the Japanese Society of Snow and Ice, 38(Special), 109-114."
"Jomelli, V., Favier, V., Rabatel, A., Brunstein, D., Hoffmann, G., & Francou, B. (2009). Fluctuations of glaciers in the tropical Andes over the last millennium and palaeoclimatic implications: A review. Palaeogeography, Palaeoclimatology, Palaeoecology, 281(3-4), 269-282."
"Kamp, U., McManigal, K. G., Dashtseren, A., & Walther, M. (2013). Documenting glacial changes between 1910, 1970, 1992 and 2010 in the T urgen M ountains, M ongolian A ltai, using repeat photographs, topographic maps, and satellite imagery. The Geographical Journal, 179(3), 248-263."
"Kaufmann, R. (2001). Invertebrate succession on an alpine glacier foreland. Ecology, 82(8), 2261-2278."
"Khromova, T., Nosenko, G., Kutuzov, S., Muraviev, A., & Chernova, L. (2014). Glacier area changes in Northern Eurasia. Environmental Research Letters, 9(1), 015003."
"Klein, A. G., & Kincaid, J. L. (2006). Retreat of glaciers on Puncak Jaya, Irian Jaya, determined from 2000 and 2002 IKONOS satellite images. Journal of Glaciology, 52(176), 65-79."
"Koch, J., Menounos, B., & Clague, J. J. (2009). Glacier change in Garibaldi Provincial Park, southern Coast Mountains, British Columbia, since the Little Ice Age. Global and Planetary Change, 66(3-4), 161-178."
"Kutuzov, S., & Shahgedanova, M. (2009). Glacier retreat and climatic variability in the eastern Terskey–Alatoo, inner Tien Shan between the middle of the 19th century and beginning of the 21st century. Global and Planetary Change, 69(1-2), 59-70."
"Kwon, H. Y., Jung, J. Y., Kim, O. S., Laffly, D., Lim, H. S., & Lee, Y. K. (2015). Soil development and bacterial community shifts along the chronosequence of the Midtre Lovénbreen glacier foreland in Svalbard. Journal of Ecology and Environment, 38(4), 461-476."
"Lardeux, P., Glasser, N., Holt, T., & Hubbard, B. (2016). Glaciological and geomorphological map of Glacier Noir and Glacier Blanc, French Alps. Journal of Maps, 12(3), 582-596."
"Li, Z., He, Y., Yang, X., Theakstone, W. H., Jia, W., Pu, T., ... & Du, J. (2010). Changes of the Hailuogou glacier, Mt. Gongga, China, against the background of climate change during the Holocene. Quaternary International, 218(1-2), 166-175."
"Lorenzo, J.L. (1964). Los Glaciares de Mexico. Universidad Nacional Autonoma de Mexico, Mexico City."
"Lønne, I., & Lyså, A. (2005). Deglaciation dynamics following the Little Ice Age on Svalbard: Implications for shaping of landscapes at high latitudes. Geomorphology, 72(1-4), 300-319."
"Losapio, G., Jordán, F., Caccianiga, M., & Gobbi, M. (2015). Structure-dynamic relationship of plant–insect networks along a primary succession gradient on a glacier foreland. Ecological modelling, 314, 73-79."
"Majeed, Z., Mukhtar, M. A., Mir, R. A., Kumar, P., & Krishna, K. (2020). Sonapani Glacier Recession over a Century from 1906–2016, Chandra Basin, Himachal Himalaya. Journal of the Geological Society of India, 95(1), 36–44. https://doi.org/10.1007/s12594-020-1384-5"
"Mal, S., Mehta, M., Singh, R. B., Schickhoff, U., & Bisht, M. P. S. (2019). Recession and Morphological Changes of the Debris-Covered Milam Glacier in Gori Ganga Valley, Central Himalaya, India, Derived From Satellite Data. Frontiers in Environmental Science, 7, 42. https://doi.org/10.3389/fenvs.2019.00042"
"Masiokas, M. H., Rivera, A., Espizua, L. E., Villalba, R., Delgado, S., & Aravena, J. C. (2009). Glacier fluctuations in extratropical South America during the past 1000 years. Palaeogeography, Palaeoclimatology, Palaeoecology, 281(3-4), 242-268."
"Morano-Büchner, C., & Aravena, J. C. (2013). Lichenometric analysis using genus Rhizocarpon, section Rhizocarpon (Lecanorales: Rhizocarpaceae) at Mount San Lorenzo, southern Chile. Revista Chilena de Historia Natural, 86(4), 465-473."
"Nilsen, C. (2016). Bretilbaketrekningshistorie og landformer foran Steindalsbreen, Lyngen, Troms (Doctoral dissertation, M. Sc. Thesis.  UiT Norges arktiske universitet)."
OpenData Trentino - Ghiacciai 2003. https://dati.trentino.it/dataset/ghiacciai-2003.
"Osipov, E. Y., & Osipova, O. P. (2015). Glaciers of the Levaya Sygykta River watershed, Kodar Ridge, southeastern Siberia, Russia: modern morphology, climate conditions and changes over the past decades. Environmental earth sciences, 74(3), 1969-1984."
"Palacios, D. (1996). Recent geomorphologic evolution of a glaciovolcanic active stratovolcano: Popocatépetl (Mexico). Geomorphology, 16(4), 319-335."
"Palacios, D., & Vázquez-Selem, L. (1996). Geomorphic effects of the retreat of Jamapa glacier, Pico de Orizaba volcano (Mexico). Geografiska Annaler: Series A, Physical Geography, 78(1), 19-34."
Parc National des Écrins & Irstea. https://www6.lyon-grenoble.inrae.fr/etna/UNITE-ETNA/Laboratoires-Sites-experimentaux-et-Bases-de-donnees/OBSERVATOIRE-DU-GLACIER-BLANC.
"Pelfini, M. (1992). Le fluttuazioni glaciali oloceniche nel Gruppo Ortles-Cevedale (settore lombardo) (Doctoral dissertation, Ph. D. Thesis.  Università degli Studi di Milano)."
"Prinz, R., Fischer, A., Nicholson, L., & Kaser, G. (2011). Seventy?six years of mean mass balance rates derived from recent and re?evaluated ice volume measurements on tropical Lewis Glacier, Mount Kenya. Geophysical Research Letters, 38(20)."
"Purdie, H., Anderson, B., Chinn, T., Owens, I., Mackintosh, A., & Lawson, W. (2014). Franz Josef and Fox Glaciers, New Zealand: historic length records. Global and Planetary Change, 121, 41-52."
"Rabatel, A., Francou, B., Jomelli, V., Naveau, P., & Grancher, D. (2008). A chronology of the Little Ice Age in the tropical Andes of Bolivia (16 S) and its implications for climate reconstruction. Quaternary Research, 70(2), 198-212."
"Raina, V. K., Snehmani, & Sangewar, C. V. (2015). Glacier Snout Monitoring in the Himalayas. Geological Society of India, Bengaluru, India. Retrieved from http://www.geosocindia.org/index.php/bgsi/article/view/71579"
"Rashid, I., Romshoo, S. A., & Abdullah, T. (2017). The recent deglaciation of Kolahoi valley in Kashmir Himalaya, India in response to the changing climate. Journal of Asian Earth Sciences, 138, 38–50. https://doi.org/10.1016/j.jseaes.2017.02.002"
