Type	Family	EnglishName	Genus	Species	CE07	CN01	WP58	WP55	WP37	WP29	WP3	WP34	WP33	WP5	WP30	WP67	CE03/WP15	CE04	WP20	WP1	WP4	WP69	WP73	WP40	WP43	WP60	WP31	CE05	CE02	WP59	WP42	WP27	WP7	WP57	WP56	WP39	CE09	CE1	WP10	CE10	WP12	WP65	CE01	CE08																																								
deciduousshrub	Salicaceae	"net-leavedwillow,snowwillow"	Salix	reticulata(nivalis)	0	0	0	0	0	0	35m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10m	0	0																																								
deciduousshrub	Salicaceae	Sitkawillow	Salix	sitchensis	0	5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
deciduousshrub	Salicaceae	spp1	Salix		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14m	0	0	0	0	0	0	0	0	0	0																																								
deciduousshrub	Rosaceae	SitkaMountainAsh	Sorbus	sitchensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20m	0	8m	0	0	0	0	0	0																																								
evergreen	Ericaceae	"Kinnikinnick,bearberry"	Arctostaphylos	uva-ursi	0	27m	8m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12m	0	0	0	0	0	"2,0,3,0"	0	0	3m	0	4m	7m	15m	0	0	0	0	0	0	0	6m																																								
evergreen	Ericaceae	whitemountainheather	Cassiope	mertensiana	0	0	17m	"4,4,4,4"	4m	20m	8m	"1,1"	35m	"3,2"	0	20m	"3,3,4,4"	0	0	"0,0,0,1"	10m	"3,2,4,1"	"2,4,2,3"	"3,4,4,4"	0	30m	0	"1,0,0,0"	30m	"0,0,0,2"	"4,4,4,4"	0	"3,1,1,4"	3m	12m	4m	14m	0	0	0	"1,0,0,0"	0	0	0																																								
evergreen	Ericaceae	crowberry	Empetrum	nigrum	0	0	0	0	0	0	0	0	0	0	0	0	"0,2,0,0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2m																																								
evergreen	Ericaceae	alpine-wintergreen	Gaultheria	humifusa	0	0	25m	0	17m	2m	0	0	0	0	0	0	0	0	0	0	0	0	3m	0	30m	0	0	0	0	3m	0	0	0	10m	3m	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	alpinelaurel	Kalmia	microphylla	0	0	0	0	20m	0	0	0	35m	"4,4,4,4"	0	"4,4,4,0"	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,1,0,0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	one-sided-wintergreen	Orthilia	secunda	0	0	0	0	"0,0,0,1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	one-sided-wintergreen	Orthilia	secunda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3m	15m	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	one-sided-wintergreen	Orthilia	secunda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7m																																								
evergreen	Ericaceae	Pinkmountain-heather	Phyllodoce	empetriformis	0	0	7m	"4,4,4,4"	"2,1,2,0"	20m	5m	0	25m	"2,3,2,1"	0	"1,4,3,4"	0	0	0	"4,3,3,3"	"1,1,0,0"	"3,2,0,1"	"0,0,0,3"	"3,1,4,4"	0	5m	0	"2,0,3,2"	6m	0	0	0	"4,4,4,4"	5m	5m	0	17m	0	"1,4,3,4"	0	"3,0,1,1"	"1,0,0,0"	"1,0,0,3"	0																																								
evergreen	Ericaceae	YellowMountain-Heather	Phyllodoce	glanduliflora	0	3m	6m	0	0	0	20m	5m	0	0	0	0	"3,4,4,1"	0	0	"4,3,3,1"	0	0	0	0	10m	0	0	0	"0,0,4,2"	"4,4,4,4"	"4,4,4,4"	"0,1,1,0"	9m	6m	"3,0,0,1"	0	4m	0	0	0	"4,1,4,4"	"4,4,4,4"	0	"3,3,1,0"																																								
evergreen	Ericaceae	Pinkwintergreen	Pyrola	asarifolia	0	0	5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	Pinkwintergreen	Pyrola	asarifolia	0	0	0	0	"4,0,0,0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	Pinkwintergreen	Pyrola	asarifolia	0	0	0	0	0	0	"0,0,2,3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	white-floweredrhododendron	Rhododendron	albiflorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
